Marital status,Application order,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,1,1,1,143,1,1,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.3333333333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
1,1,0,1,138,19,1,134.5,1,0,0,1,0,0,19,0,0,6,6,6,12.6666666666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
1,1,0,1,130,2,37,131.4,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.4285714285714,0,13.9,-0.3,0.79,Graduate
1,1,1,1,130,38,37,102.5,0,0,1,0,1,0,37,0,0,7,7,0,0,0,0,7,7,1,10,0,8.9,1.4,3.51,Dropout
1,1,1,10,133.1,34,37,128.8,1,0,0,1,1,0,43,0,0,5,0,0,0,0,0,5,0,0,0,0,7.6,2.6,0.32,Dropout
1,1,1,1,140,37,37,122.9,0,0,0,1,0,0,55,0,0,5,10,1,10,0,0,5,8,2,12,2,16.2,0.3,-0.92,Dropout
4,1,0,1,120,19,19,113.9,1,0,0,1,0,0,39,0,0,5,8,5,11,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
1,1,1,39,120,4,4,120,0,0,1,0,0,0,20,1,2,6,13,3,11.6666666666667,0,1,6,11,3,12,0,12.4,0.5,1.79,Dropout
1,5,1,1,126,3,3,121.1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,3.7,-1.7,Dropout
1,2,1,1,133,3,19,120.4,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
1,6,1,1,103,1,3,100.6,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.3428571428571,0,11.1,0.6,2.02,Graduate
1,1,1,1,120,1,38,121.4,0,0,0,0,0,0,20,0,0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
1,1,0,1,133.1,37,37,109.7,0,0,0,1,0,0,29,0,0,5,0,0,0,0,0,5,0,0,0,0,16.2,0.3,-0.92,Dropout
1,1,0,1,154,38,38,134.1,0,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.3333333333333,1,7.6,2.6,0.32,Enrolled
1,2,1,1,130,19,19,127.6,1,0,0,1,0,0,18,0,0,6,6,6,11.6666666666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
1,6,1,1,132,37,19,132.4,1,0,0,1,0,1,22,0,0,7,8,6,13.5166666666667,0,0,8,9,7,13.7714285714286,0,11.1,0.6,2.02,Graduate
1,1,0,39,130,1,19,133.4,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.2857142857143,0,12.4,0.5,1.79,Graduate
1,1,1,1,139,37,38,126.1,0,0,0,1,0,1,19,0,0,6,7,5,12.3333333333333,0,0,6,7,6,12.8333333333333,0,12.7,3.7,-1.7,Graduate
1,1,1,1,130,19,38,113.5,0,0,0,1,0,1,24,0,0,6,6,6,13.6666666666667,0,0,6,6,6,14.1666666666667,0,12.4,0.5,1.79,Graduate
1,1,1,1,139,37,38,121.3,1,0,0,1,0,1,19,0,0,8,10,6,11.8333333333333,0,0,8,10,6,11.8333333333333,0,9.4,-0.8,-3.12,Enrolled
1,1,1,1,127,1,19,121.8,1,0,0,1,0,1,20,0,0,6,11,4,14,0,0,6,12,3,11,0,9.4,-0.8,-3.12,Enrolled
1,3,1,1,167,37,37,159.3,0,0,0,1,0,0,19,0,0,5,7,5,14.7142857142857,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
1,1,0,1,130,38,38,120,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11,0,9.4,-0.8,-3.12,Dropout
1,1,1,1,130,1,19,129.1,1,0,0,1,0,0,18,0,0,7,9,7,13.0444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
2,1,1,3,130,1,3,130,0,0,0,1,0,0,39,0,0,6,10,0,0,0,0,6,6,0,0,0,12.4,0.5,1.79,Dropout
1,1,1,40,129,3,3,155.3,1,0,0,1,0,0,27,0,0,6,9,5,13,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
1,1,1,1,141,38,38,139.8,1,0,0,1,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
1,3,1,1,125,38,37,115.2,1,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Enrolled
1,2,1,1,125,19,19,114.9,0,0,0,1,0,0,18,0,0,7,8,6,13.1333333333333,0,0,8,12,7,12.2214285714286,0,16.2,0.3,-0.92,Graduate
1,1,1,39,130,19,1,131.9,0,0,0,1,0,1,21,0,3,6,7,6,12,0,2,6,7,6,12,0,13.9,-0.3,0.79,Graduate
1,3,1,1,133,1,37,126,1,0,0,1,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Enrolled
1,1,1,1,127,1,1,130.2,1,0,0,1,1,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10,0,10.8,1.4,1.74,Enrolled
1,1,1,1,116,1,1,120.9,0,0,0,1,1,0,24,0,0,6,6,0,0,0,0,6,6,0,0,0,12.7,3.7,-1.7,Enrolled
4,1,1,19,133.1,1,1,126,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11,0,13.9,-0.3,0.79,Dropout
1,3,1,1,139,19,19,128.2,1,0,0,1,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Graduate
1,1,1,39,130,19,37,130,1,0,0,1,1,0,23,0,0,6,8,6,12.5714285714286,0,0,6,7,6,12.4285714285714,0,8.9,1.4,3.51,Graduate
1,3,1,1,125,1,38,120.1,0,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
1,1,1,1,160,19,37,100,0,0,0,1,1,0,26,0,0,6,7,6,12,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
1,1,1,1,148,38,37,134,0,0,0,1,1,0,18,0,0,5,9,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Enrolled
1,1,1,1,150,37,19,130.8,0,0,0,1,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
1,1,1,1,141,19,19,135.8,1,0,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,Dropout
1,4,1,1,118,38,37,111.7,1,0,0,1,1,0,18,0,0,6,12,3,11.6666666666667,0,0,6,12,1,12,0,12.4,0.5,1.79,Dropout
1,2,1,1,142,38,38,132.9,1,0,0,1,1,0,18,0,0,6,8,6,12.3333333333333,0,0,6,11,3,12.3333333333333,0,10.8,1.4,1.74,Graduate
1,3,1,1,120,19,19,115.5,1,0,1,1,1,0,18,0,0,5,8,3,10.3333333333333,0,0,5,11,3,10.8571428571429,0,10.8,1.4,1.74,Dropout
1,4,1,1,106,19,37,106,1,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11,0,9.4,-0.8,-3.12,Dropout
1,4,1,1,121,1,19,120.3,1,0,1,1,1,1,19,0,0,6,6,6,13.6666666666667,0,0,6,6,6,13.3333333333333,0,8.9,1.4,3.51,Graduate
1,4,1,1,150,38,37,130.8,0,0,0,1,1,1,22,0,0,7,7,7,14.8428571428571,0,0,8,9,8,15.0555555555556,0,16.2,0.3,-0.92,Graduate
2,1,0,1,120,37,37,117,0,0,0,1,1,0,33,0,0,6,8,6,12,0,0,6,6,6,11.6666666666667,0,10.8,1.4,1.74,Graduate
1,6,1,1,114,19,19,110.2,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
1,1,0,2,140,3,3,155.7,1,0,0,1,1,0,35,0,0,1,1,0,0,1,0,5,0,0,0,0,10.8,1.4,1.74,Dropout
1,1,1,4,160,3,3,180.4,0,0,1,1,1,0,24,0,6,12,17,6,12.1666666666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
1,1,1,1,120,19,19,125.5,0,0,0,1,1,0,18,0,0,5,6,5,12,0,0,5,8,3,11.3333333333333,0,12.7,3.7,-1.7,Enrolled
2,1,0,1,130,37,37,110,1,0,0,1,0,0,33,0,0,6,7,6,11,0,0,6,11,5,11,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,160,37,38,161,1,0,0,1,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate
1,1,1,1,120,1,19,100,0,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,124,19,38,117.6,1,0,0,1,1,0,20,0,0,6,9,6,10.6666666666667,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate
1,6,1,1,143,38,37,128.7,1,0,0,1,1,0,23,0,0,5,6,4,14,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled
1,2,1,1,115,38,19,112.2,1,0,1,1,1,0,18,0,0,5,9,2,10,0,0,5,9,0,0,0,15.5,2.8,-4.06,Enrolled
1,1,1,1,133.1,1,1,100.8,0,0,0,1,1,0,24,0,0,7,18,0,0,0,0,7,7,0,0,0,13.9,-0.3,0.79,Dropout
1,2,1,1,133.1,19,1,105,1,0,0,0,0,0,21,1,0,6,6,6,14,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate
1,1,1,1,133.1,1,1,100,0,0,0,1,0,0,26,1,0,6,7,2,12,1,0,6,6,0,0,0,8.9,1.4,3.51,Dropout
2,1,1,10,133.1,37,34,115.5,0,0,0,1,0,0,39,0,0,6,12,3,12.6666666666667,0,0,6,14,0,0,1,7.6,2.6,0.32,Dropout
2,1,0,1,133.1,37,19,114,0,0,0,1,0,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.3333333333333,0,12.7,3.7,-1.7,Graduate
1,1,1,1,130,38,3,137,1,0,0,1,1,0,19,1,0,5,9,5,14,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled
1,5,1,1,135,37,1,124.9,1,0,0,1,0,0,18,0,0,6,6,6,13.6666666666667,0,0,6,6,6,13.3333333333333,0,8.9,1.4,3.51,Graduate
1,5,1,1,132,37,37,120.3,1,0,0,1,0,1,18,0,0,7,7,7,13.75,0,0,8,9,8,14.4777777777778,0,12.4,0.5,1.79,Graduate
1,1,1,1,135,1,2,134.3,1,0,0,1,0,0,19,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled
1,4,1,1,115,3,3,111.5,1,0,1,0,0,0,19,0,0,7,10,4,11.96,0,0,7,7,0,0,0,13.9,-0.3,0.79,Dropout
1,1,1,42,130,38,38,128.8,0,0,0,1,0,0,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout
1,4,1,1,133.1,1,1,110,1,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,0.3,-0.92,Graduate
2,1,0,1,130,37,37,113.5,1,0,0,1,0,0,36,0,0,6,0,0,0,0,0,6,0,0,0,0,9.4,-0.8,-3.12,Dropout
4,1,1,12,133.1,37,37,160,0,0,0,1,0,0,43,0,13,18,19,18,14.6315789473684,0,10,13,14,13,14.2307692307692,1,15.5,2.8,-4.06,Graduate
1,1,1,1,123,19,19,117.4,1,0,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,11.1,0.6,2.02,Dropout
1,1,1,1,130,3,1,122.2,0,0,1,1,0,0,20,0,4,10,12,10,13,0,5,11,11,11,12.2727272727273,0,11.1,0.6,2.02,Graduate
1,2,1,1,122,37,38,118.2,1,0,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,16.2,0.3,-0.92,Dropout
1,1,1,1,113,1,1,106.7,1,0,0,1,0,0,20,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,Dropout
1,5,1,1,111,3,4,108.2,1,0,0,1,0,0,20,0,2,7,9,6,13.2666666666667,0,0,7,10,5,12.3,0,12.4,0.5,1.79,Dropout
1,2,1,1,133.1,19,1,107,1,0,0,1,0,0,20,0,0,7,12,6,11.6666666666667,0,0,7,10,3,13,0,16.2,0.3,-0.92,Enrolled
1,1,1,1,142,37,37,136.1,1,0,0,1,0,0,18,0,0,6,8,6,13.8571428571429,0,0,6,6,6,15,0,13.9,-0.3,0.79,Graduate
1,2,1,1,123,1,38,115.3,1,0,0,1,0,1,18,0,0,5,9,3,13,0,0,5,11,3,11,0,8.9,1.4,3.51,Enrolled
1,1,1,1,131,19,19,139.8,1,0,0,1,0,0,19,0,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,Graduate
1,3,1,1,158,1,38,157,1,0,0,1,0,0,18,0,0,6,6,6,12.6666666666667,0,0,6,7,6,12.5714285714286,0,10.8,1.4,1.74,Graduate
1,2,1,1,122,37,37,131,1,0,0,1,0,0,18,0,0,7,7,6,12.5166666666667,1,0,7,7,6,12.5166666666667,1,7.6,2.6,0.32,Dropout
1,1,1,1,130,38,38,100,0,0,0,1,0,0,20,0,0,7,11,6,11.6166666666667,0,0,7,7,7,13,0,13.9,-0.3,0.79,Enrolled
1,1,1,1,154,19,37,140.4,1,0,0,1,0,1,20,0,0,6,13,2,10,0,0,6,12,4,10.75,0,7.6,2.6,0.32,Enrolled
1,1,1,1,120,19,19,113.4,0,0,0,1,0,0,20,0,0,5,11,3,10.3333333333333,0,0,5,10,3,10.6666666666667,0,12.4,0.5,1.79,Enrolled
1,2,1,1,140,37,38,137,0,0,0,1,0,0,18,0,0,5,12,5,13.1428571428571,2,0,5,6,5,11.4,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,127,2,19,121.8,0,0,0,1,0,0,18,0,0,5,5,5,12.6,0,0,5,5,5,14,0,11.1,0.6,2.02,Graduate
1,1,1,1,133.1,1,1,131,1,0,0,1,0,0,21,0,0,6,12,3,11,0,0,6,12,2,11,0,9.4,-0.8,-3.12,Dropout
1,2,1,1,120,19,19,118.6,1,0,0,1,0,0,19,0,0,5,8,5,10.8,0,0,5,9,4,11.25,2,16.2,0.3,-0.92,Graduate
1,1,1,1,137,3,19,122.3,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
1,1,1,1,131,38,38,127.9,0,0,0,1,0,1,19,0,0,5,5,5,12.8,0,0,5,5,5,14.2,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,130,19,38,121.3,1,0,0,1,0,0,19,0,0,6,15,6,14.1666666666667,0,0,6,13,6,12.2,0,15.5,2.8,-4.06,Graduate
1,6,1,1,122,1,1,117.1,1,0,0,1,0,0,19,0,0,7,12,5,12.1,0,0,7,0,0,0,0,13.9,-0.3,0.79,Dropout
1,1,1,39,160,37,37,160,1,0,0,1,0,0,20,0,1,6,7,6,14.1666666666667,0,1,6,17,5,13.7777777777778,0,12.4,0.5,1.79,Graduate
1,1,1,1,146,19,38,145.3,1,0,0,1,0,1,18,0,0,6,8,5,12.8,0,0,6,7,5,13.4,0,9.4,-0.8,-3.12,Enrolled
1,3,1,1,131,1,39,122.6,1,0,0,1,0,0,18,0,0,6,7,6,13,0,0,6,6,6,13.6666666666667,0,12.4,0.5,1.79,Graduate
1,6,1,1,132,1,37,128,1,0,0,1,0,0,19,0,0,7,7,7,13.4671428571429,0,0,8,9,8,15.0111111111111,0,12.4,0.5,1.79,Graduate
1,3,1,1,138,19,19,124.9,1,0,0,1,0,1,18,0,0,7,9,7,13.2375,0,0,8,9,7,13.7428571428571,0,13.9,-0.3,0.79,Dropout
1,2,1,1,130,37,37,123.7,1,0,0,1,0,0,18,0,0,6,6,6,12.3333333333333,0,0,6,6,6,13,0,7.6,2.6,0.32,Graduate
1,4,1,1,126,1,19,120.1,1,0,0,1,0,0,19,0,0,5,7,5,12.4,0,0,5,5,5,14.6,0,8.9,1.4,3.51,Graduate
1,6,1,1,148,1,19,131.7,1,0,0,1,0,0,19,0,0,7,8,5,14,0,0,7,7,0,0,0,13.9,-0.3,0.79,Dropout
1,1,1,1,130,38,37,133.2,0,0,0,1,0,0,20,0,5,9,15,9,11.6666666666667,0,2,7,8,7,11.7142857142857,0,7.6,2.6,0.32,Graduate
1,1,1,1,117,1,38,109.3,0,0,1,0,0,1,19,0,0,6,7,5,12,0,0,6,9,4,12.5,0,12.4,0.5,1.79,Dropout
1,1,1,1,120,19,19,113,1,0,0,1,0,0,20,0,0,5,7,4,12.2,0,0,5,5,4,11.5,0,7.6,2.6,0.32,Graduate
1,1,1,1,153,1,1,157.9,0,0,1,1,0,1,18,0,0,6,6,6,14.8333333333333,0,0,6,6,6,14.8333333333333,0,8.9,1.4,3.51,Graduate
1,2,1,1,117,19,1,112.1,0,0,0,1,0,1,20,0,0,7,9,5,13.188,0,0,8,9,7,12.8928571428571,0,11.1,0.6,2.02,Enrolled
1,1,1,1,178,19,1,174.7,0,0,0,1,0,0,18,0,0,7,8,7,17.125,0,0,8,8,8,17.5875,0,13.9,-0.3,0.79,Graduate
1,5,1,1,129,37,37,128.8,1,0,0,1,0,0,19,0,0,7,7,6,12.6666666666667,0,0,7,7,6,12.6666666666667,0,7.6,2.6,0.32,Graduate
1,6,1,1,116,19,1,110.1,1,0,0,1,0,1,19,0,0,6,8,6,12.6666666666667,0,0,6,10,5,12,0,12.4,0.5,1.79,Graduate
1,1,1,1,99,3,1,99.7,1,0,1,0,0,0,22,0,0,5,8,0,0,0,0,5,7,0,0,0,8.9,1.4,3.51,Enrolled
1,3,1,1,135,1,12,121,1,0,0,1,0,1,19,0,0,6,7,6,11.3333333333333,0,0,6,6,6,11.5,0,12.4,0.5,1.79,Graduate
1,3,1,1,141,19,19,131.7,1,0,0,1,0,1,19,0,0,7,10,7,13.605,0,0,8,11,8,12.33125,0,15.5,2.8,-4.06,Graduate
1,5,1,1,132,37,38,119.1,1,0,0,1,0,1,19,0,0,6,10,5,12,0,0,6,9,5,10.8,0,9.4,-0.8,-3.12,Graduate
1,4,1,1,132,12,19,124.7,1,0,0,1,0,0,19,0,0,5,10,0,0,0,0,5,10,0,0,0,7.6,2.6,0.32,Dropout
1,1,1,1,113,1,37,117.2,1,0,0,1,0,0,20,0,0,6,8,5,11.2,0,0,6,12,3,11.6666666666667,0,7.6,2.6,0.32,Dropout
1,1,1,1,134,3,19,128.8,0,0,0,1,0,0,18,0,0,5,10,5,13.375,0,0,5,9,5,14.1666666666667,0,13.9,-0.3,0.79,Graduate
1,1,1,1,136,1,19,131.5,0,0,0,1,0,1,20,0,0,7,8,6,13.8633333333333,0,0,8,9,7,14.1785714285714,0,11.1,0.6,2.02,Graduate
1,1,1,1,136,3,37,121.7,1,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,Enrolled
1,1,1,1,129,1,38,123.4,0,0,0,1,0,0,19,0,0,5,6,5,12.4,0,0,5,6,5,13.4,0,7.6,2.6,0.32,Graduate
1,1,1,1,138,38,38,124.7,1,0,0,1,0,0,18,0,0,6,11,3,12.3333333333333,0,0,6,10,5,10.8333333333333,0,9.4,-0.8,-3.12,Enrolled
1,1,1,1,137,37,37,132.8,1,0,0,1,0,0,18,0,0,6,7,6,13.3333333333333,0,0,6,8,5,11.8,0,7.6,2.6,0.32,Graduate
1,1,1,1,115,3,37,108.7,1,0,0,1,0,0,21,0,0,6,10,3,12.6666666666667,0,0,6,12,3,10,0,9.4,-0.8,-3.12,Dropout
1,1,1,1,129,38,37,138.1,0,0,0,1,0,0,19,0,0,6,8,6,12,0,0,6,10,4,11.5,0,7.6,2.6,0.32,Dropout
1,1,1,1,131,38,38,126.5,0,0,0,1,0,1,18,0,0,5,5,5,10.6,0,0,5,5,5,11.8,0,12.4,0.5,1.79,Graduate
1,2,1,1,133,1,37,127.4,1,0,0,1,0,1,18,0,0,6,8,6,12.25,0,0,6,7,6,11.8571428571429,0,12.7,3.7,-1.7,Graduate
1,3,1,1,125,19,1,123.6,1,0,0,1,0,0,20,0,0,6,10,4,11,0,0,6,9,6,11.8333333333333,0,9.4,-0.8,-3.12,Graduate
1,1,0,1,120,1,19,122,0,0,0,1,0,1,24,0,0,6,11,5,11,0,0,6,9,5,12.6,0,11.1,0.6,2.02,Graduate
1,1,1,1,128,19,1,118.2,0,0,0,1,0,0,19,0,0,6,6,6,13.1666666666667,0,0,6,9,6,13,0,10.8,1.4,1.74,Dropout
1,1,1,1,127,19,37,123.9,1,0,0,1,0,1,18,0,0,7,9,7,12.8555555555556,0,0,8,12,7,12.7611111111111,0,15.5,2.8,-4.06,Graduate
1,2,1,1,134,19,19,125.8,1,0,0,1,0,0,18,0,0,7,8,7,14.91875,0,0,8,8,8,15.355,0,15.5,2.8,-4.06,Graduate
1,5,1,1,132,12,12,123.3,1,0,0,1,0,0,21,0,0,6,13,4,11.5,0,0,6,10,3,11,0,10.8,1.4,1.74,Dropout
1,2,1,1,124,1,19,124.4,0,0,0,1,0,0,19,0,0,5,5,5,14.2,0,0,5,5,5,14.2,0,7.6,2.6,0.32,Graduate
