,1,2,3
311,4,98.0,70
312,4,86.0,65
313,4,151.0,90
314,4,140.0,88
315,4,151.0,90
316,6,225.0,90
317,4,97.0,78
318,4,134.0,90
319,4,120.0,75
320,4,119.0,92
321,4,108.0,75
322,4,86.0,65
323,4,156.0,105
324,4,85.0,65
325,4,90.0,48
326,4,90.0,48
327,5,121.0,67
328,4,146.0,67
329,4,91.0,67
330,4,85.0,?
331,4,97.0,67
332,4,89.0,62
333,6,168.0,132
334,3,70.0,100
335,4,122.0,88
336,4,140.0,?
337,4,107.0,72
338,4,135.0,84
339,4,151.0,84
340,4,156.0,92
341,6,173.0,110
342,4,135.0,84
343,4,79.0,58
344,4,86.0,64
345,4,81.0,60
346,4,97.0,67
347,4,85.0,65
348,4,89.0,62
349,4,91.0,68
350,4,105.0,63
351,4,98.0,65
352,4,98.0,65
353,4,105.0,74
354,4,100.0,?
355,4,107.0,75
356,4,108.0,75
357,4,119.0,100
358,4,120.0,74
359,4,141.0,80
360,6,145.0,76
361,6,168.0,116
362,6,146.0,120
363,6,231.0,110
364,8,350.0,105
365,6,200.0,88
366,6,225.0,85
367,4,112.0,88
368,4,112.0,88
369,4,112.0,88
370,4,112.0,85
371,4,135.0,84
372,4,151.0,90
373,4,140.0,92
374,4,151.0,?
375,4,105.0,74
376,4,91.0,68
377,4,91.0,68
378,4,105.0,63
379,4,98.0,70
380,4,120.0,88
381,4,107.0,75
382,4,108.0,70
383,4,91.0,67
384,4,91.0,67
385,4,91.0,67
386,6,181.0,110
387,6,262.0,85
388,4,156.0,92
389,6,232.0,112
390,4,144.0,96
391,4,135.0,84
392,4,151.0,90
393,4,140.0,86
394,4,97.0,52
395,4,135.0,84
396,4,120.0,79
397,4,119.0,82
