,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
186,"GROUND TURKEY,85% LN,15% FAT,RAW",69.74,180,16.9,12.54,0.96,0.0,0.0,0.0,33.0,1.32,19.0,179.0,202.0,54.0,2.75,0.123,0.009,24.6,0.0,0.067,0.177,5.075,1.1,0.485,6.0,0.0,6.0,6.0,51.6,1.3,101.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.08,0.4,14.0,0.0,3.414,4.551,3.485,78.0
187,"GROUND TURKEY,85% LN,15% FAT,PAN-BROILED CRUMBLES",56.66,258,25.11,17.45,1.32,0.0,0.0,0.0,49.0,1.98,28.0,263.0,276.0,85.0,3.56,0.194,0.015,36.1,0.0,0.08,0.26,7.72,1.4,0.462,7.0,0.0,7.0,7.0,76.7,1.6,117.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.09,0.2,8.0,0.0,4.572,6.05,4.624,106.0
188,"GROUND TURKEY,85% LN,15% FAT,PATTIES,BRLD",58.25,249,25.88,16.2,1.2,0.0,0.0,0.0,48.0,2.04,25.0,235.0,242.0,81.0,3.25,0.256,0.016,35.1,0.0,0.067,0.232,6.632,1.2,0.383,7.0,0.0,7.0,7.0,79.1,1.4,97.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.07,0.2,8.0,0.0,4.127,5.462,4.167,105.0
189,"CHICKEN,DK MEAT,DRUMSTK,MEAT ONLY,W/ ADDED SOLN,RAW",77.71,106,19.19,3.26,0.99,0.0,0.0,0.0,9.0,0.72,16.0,143.0,192.0,152.0,2.0,0.061,0.01,22.4,0.0,0.098,0.243,4.94,1.2,0.385,3.0,0.0,3.0,3.0,75.3,0.42,28.0,8.0,8.0,0.0,0.0,0.0,0.0,102.0,0.4,0.2,7.0,0.0,0.954,1.29,0.802,92.0
190,"CHICKEN,DK MEAT,THIGH,MEAT ONLY,W/ ADDED SOLN,RAW",77.16,110,19.11,3.69,1.04,0.0,0.0,0.0,8.0,0.6,21.0,175.0,234.0,156.0,1.53,0.053,0.009,20.9,0.0,0.087,0.23,5.3,1.25,0.433,3.0,0.0,3.0,3.0,75.1,0.56,19.0,6.0,6.0,0.0,0.0,0.0,0.0,87.0,0.26,0.1,3.0,0.0,0.899,1.222,0.767,87.0
191,"CHICKEN,DK MEAT,DRUMSTK,MEAT & SKN,W/ ADDED SOLN,RAW",73.79,146,18.03,8.24,0.94,0.0,0.0,0.0,8.0,0.69,15.0,135.0,179.0,150.0,1.8,0.057,0.009,20.8,0.0,0.089,0.217,4.612,1.028,0.346,3.0,0.0,3.0,3.0,68.7,0.45,50.0,15.0,15.0,0.0,0.0,0.0,0.0,87.0,0.4,0.2,8.0,0.0,2.334,3.561,1.864,95.0
192,"CHICKEN,DK MEAT,THIGH,MEAT & SKN,W/ ADDED SOLN,RAW",68.63,197,16.56,14.58,0.9,0.0,0.0,0.0,8.0,0.57,16.0,147.0,191.0,151.0,1.24,0.046,0.008,17.7,0.0,0.071,0.176,4.458,0.852,0.331,3.0,0.0,3.0,3.0,60.4,0.6,72.0,22.0,22.0,0.0,0.0,0.0,0.0,59.0,0.32,0.2,7.0,0.0,3.975,6.275,3.131,95.0
193,"TURKEY,DK MEAT,MEAT ONLY,W/ ADDED SOLN,CKD,RSTD",66.85,158,26.1,6.0,1.24,0.0,0.0,0.0,16.0,1.07,24.0,208.0,227.0,201.0,3.4,0.128,0.017,31.4,0.0,0.056,0.335,6.827,1.015,0.435,8.0,0.0,8.0,8.0,90.3,1.65,18.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.3,10.0,0.0,1.807,2.061,1.662,105.0
194,"TURKEY,WHL,MEAT ONLY,W/ ADDED SOLN,RSTD",68.81,140,26.61,3.7,1.36,0.0,0.0,0.0,14.0,0.77,27.0,235.0,239.0,223.0,2.28,0.089,0.014,30.7,0.0,0.045,0.261,9.721,0.947,0.589,8.0,0.0,8.0,8.0,78.2,1.68,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.3,10.0,0.0,1.093,1.218,0.996,84.0
195,"TURKEY,WHL,MEAT & SKN,W/ ADDED SOLN,RSTD",65.05,176,26.09,8.01,1.36,0.0,0.0,0.0,15.0,0.81,27.0,236.0,242.0,224.0,2.2,0.087,0.015,29.6,0.0,0.043,0.257,9.436,0.944,0.554,8.0,0.0,8.0,8.0,77.7,1.67,43.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.07,0.4,15.0,0.0,2.301,2.851,2.28,91.0
196,"TURKEY,RTL PARTS,WING,MEAT ONLY,CKD,RSTD",64.04,170,30.17,5.51,1.05,0.0,0.0,0.0,12.0,0.82,21.0,180.0,207.0,103.0,3.24,0.059,0.004,30.6,0.0,0.039,0.18,8.47,0.735,0.654,10.0,0.0,10.0,10.0,78.1,1.25,25.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.17,0.7,28.0,0.0,1.357,1.68,1.426,97.0
197,"TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RSTD",66.85,158,26.1,6.0,1.24,0.0,0.0,0.0,16.0,1.07,24.0,208.0,227.0,201.0,3.4,0.128,0.017,31.4,0.0,0.056,0.335,6.827,1.015,0.435,8.0,0.0,8.0,8.0,90.3,1.65,18.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.3,10.0,0.0,1.807,2.061,1.662,105.0
198,"TURKEY,RTL PARTS,BREAST,MEAT & SKN,W/ ADDED SOLN,RAW",72.76,144,20.79,6.75,1.13,0.03,0.0,0.01,9.0,0.43,23.0,171.0,221.0,126.0,1.07,0.043,0.005,20.8,0.0,0.045,0.148,9.171,0.894,0.756,7.0,0.0,7.0,7.0,61.0,0.4,50.0,15.0,15.0,0.0,0.0,0.0,0.0,3.0,0.1,0.3,13.0,0.0,1.24,3.04,2.47,64.0
199,"TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RSTD",66.85,158,26.1,6.0,1.24,0.0,0.0,0.0,16.0,1.07,24.0,208.0,227.0,201.0,3.4,0.128,0.017,31.4,0.0,0.056,0.335,6.827,1.015,0.435,8.0,0.0,8.0,8.0,90.3,1.65,18.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.3,10.0,0.0,1.807,2.061,1.662,105.0
200,"TURKEY,RTL PARTS,BREAST,MEAT & SKN,RAW",70.98,155,21.88,7.45,0.98,0.0,0.0,0.0,9.0,0.77,24.0,176.0,247.0,72.0,1.15,0.054,0.006,20.4,0.0,0.048,0.157,9.4,0.972,0.724,7.0,0.0,7.0,7.0,50.1,1.28,54.0,16.0,16.0,0.0,0.0,0.0,0.0,7.0,0.09,0.3,12.0,0.0,1.756,2.191,1.834,63.0
201,"TURKEY,RTL PARTS,WING,MEAT & SKN,RAW",66.78,202,19.53,13.79,0.81,0.05,0.0,0.03,8.0,0.68,17.0,139.0,192.0,67.0,2.14,0.049,0.007,18.0,0.0,0.033,0.121,5.61,0.623,0.538,6.0,0.0,6.0,6.0,46.1,0.91,100.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,19.0,0.0,3.549,4.641,3.712,84.0
202,"TURKEY,RTL PARTS,DRUMSTK,MEAT & SKN,RAW",73.37,141,19.96,6.84,0.88,0.0,0.0,0.0,9.0,1.14,21.0,151.0,208.0,86.0,2.92,0.079,0.006,20.3,0.0,0.049,0.28,4.8,1.054,0.339,6.0,0.0,6.0,6.0,72.5,1.9,86.0,26.0,26.0,0.0,0.0,0.0,0.0,5.0,0.18,0.5,18.0,0.0,1.896,2.314,1.958,82.0
203,"SOUP,CRM OF ASPARAGUS,CND,COND",84.05,69,1.82,3.26,2.35,8.52,0.4,0.72,23.0,0.64,3.0,31.0,138.0,669.0,0.7,0.1,0.3,1.9,2.2,0.043,0.062,0.62,0.11,0.01,19.0,0.0,19.0,19.0,13.0,0.04,441.0,26.0,5.0,0.0,256.0,0.0,13.0,326.0,0.49,0.0,0.0,22.0,0.82,0.75,1.46,4.0
204,"SOUP,BF BROTH OR BOUILLON CND,RTS",97.55,7,1.14,0.22,1.05,0.04,0.0,0.0,6.0,0.17,2.0,13.0,54.0,372.0,0.0,0.0,0.01,0.7,0.0,0.002,0.021,0.78,0.02,0.01,2.0,0.0,2.0,2.0,2.9,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.01,0.0
205,"SOUP,CRM OF CELERY,CND,COND",84.96,72,1.32,4.46,2.23,7.03,0.6,1.35,32.0,0.5,5.0,30.0,98.0,516.0,0.12,0.113,0.2,1.8,0.2,0.023,0.039,0.265,0.92,0.01,2.0,0.0,2.0,2.0,9.0,0.04,282.0,22.0,9.0,0.0,151.0,0.0,0.0,155.0,1.39,0.0,0.0,17.2,1.12,1.03,2.0,11.0
206,"SOUP,CHS,CND,COND",81.69,82,0.8,3.92,2.29,11.3,2.2,3.73,36.0,0.15,12.0,33.0,37.0,692.0,0.15,0.1,0.2,3.6,0.2,0.013,0.105,0.31,0.07,0.02,3.0,0.0,3.0,3.0,13.3,0.0,235.0,69.0,69.0,0.0,2.0,0.0,0.0,1.0,0.56,0.0,0.0,4.7,2.45,1.082,0.114,3.0
207,"SOUP,CHICK BROTH,CND,COND",91.96,31,4.42,1.04,1.83,0.75,0.0,0.35,6.0,0.41,2.0,60.0,170.0,621.0,0.2,0.1,0.2,2.3,0.0,0.006,0.046,2.23,0.04,0.02,4.0,0.0,4.0,4.0,9.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.31,0.47,0.22,1.0
208,"SOUP,CRM OF CHICK,CND,COND",82.75,90,2.38,5.77,1.95,7.16,0.0,0.54,14.0,1.06,4.0,31.0,49.0,702.0,0.29,0.128,0.068,1.9,0.1,0.013,0.046,0.392,0.192,0.0,2.0,0.0,2.0,2.0,10.3,0.0,182.0,43.0,41.0,0.0,28.0,0.0,0.0,1.0,0.54,0.0,0.0,4.1,1.697,2.056,1.063,8.0
209,"SOUP,CHICK NOODLE,CND,COND",88.2,48,2.37,1.55,1.81,6.07,0.9,0.0,6.0,0.67,8.0,38.0,48.0,681.0,0.28,0.027,0.098,6.3,0.0,0.079,0.07,1.222,0.107,0.042,14.0,10.0,5.0,21.0,11.2,0.12,410.0,22.0,2.0,0.0,243.0,0.0,0.0,7.0,0.05,0.0,0.0,0.0,0.389,0.536,0.339,8.0
210,"SOUP,CHICK W/ RICE,CND,COND",83.15,68,1.84,1.56,1.88,11.57,0.9,0.23,41.0,0.25,10.0,42.0,34.0,645.0,0.18,0.096,0.3,4.1,0.0,0.014,0.02,0.918,0.14,0.02,1.0,0.0,1.0,1.0,9.8,0.13,498.0,25.0,0.0,84.0,257.0,0.0,0.0,6.0,0.07,0.0,0.0,0.3,0.37,0.74,0.34,4.0
211,"SOUP,CRM OF MUSHROOM,CND,COND",84.7,79,1.35,5.3,1.85,6.8,0.7,0.4,12.0,0.18,3.0,24.0,64.0,691.0,0.11,0.022,0.037,2.9,0.0,0.012,0.016,0.345,0.148,0.015,2.0,0.0,2.0,2.0,9.7,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.5,0.2,9.0,19.6,0.964,1.219,2.901,0.0
212,"SOUP,ONION,CND,COND",86.35,46,3.06,1.42,2.49,6.68,0.7,2.72,22.0,0.55,2.0,9.0,56.0,516.0,0.5,0.1,0.2,3.5,1.0,0.027,0.02,0.49,0.0,0.04,12.0,0.0,12.0,12.0,4.0,0.0,11.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.22,0.0,0.0,0.4,0.21,0.61,0.53,0.0
213,"SOUP,CRM OF ONION,CND,COND",81.0,88,2.2,4.2,2.2,10.4,0.4,3.64,27.0,0.5,5.0,30.0,98.0,637.0,0.12,0.11,0.2,2.3,1.0,0.04,0.06,0.4,0.24,0.02,6.0,0.0,6.0,6.0,11.4,0.04,113.0,28.0,27.0,0.0,13.0,0.0,0.0,10.0,0.43,0.0,0.0,2.2,1.17,1.67,1.16,12.0
214,"SOUP,PEA,GRN,CND,COND",68.54,125,6.54,2.23,2.51,20.18,3.9,6.52,21.0,1.48,30.0,95.0,145.0,680.0,1.3,0.288,0.5,7.4,1.3,0.082,0.052,0.943,0.1,0.04,1.0,0.0,1.0,1.0,27.0,0.0,25.0,7.0,7.0,0.0,2.0,0.0,0.0,0.0,0.18,0.0,0.0,0.4,1.07,0.76,0.29,0.0
215,"SOUP,CRM OF POTATO,CND,COND",82.0,74,1.51,1.88,1.82,12.79,1.3,1.44,17.0,0.34,13.0,41.0,165.0,604.0,0.15,0.2,0.3,1.9,0.2,0.028,0.029,0.43,0.7,0.03,2.0,0.0,2.0,2.0,8.7,0.04,68.0,19.0,19.0,0.0,4.0,0.0,0.0,5.0,0.07,0.0,0.0,1.1,0.97,0.44,0.33,1.0
216,"GRAVY,BF,CND,RTS",87.48,53,3.75,2.36,1.6,4.81,0.4,0.21,6.0,0.7,2.0,30.0,81.0,560.0,1.0,0.1,0.2,1.0,0.0,0.032,0.036,0.66,0.02,0.01,2.0,0.0,2.0,2.0,6.3,0.1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.1,1.153,0.962,0.08,3.0
217,"GRVY, CHCKN, CNND BTTLD, RTS",90.3,48,0.71,2.62,1.08,5.29,0.1,0.3,10.0,0.09,3.0,20.0,42.0,389.0,0.08,0.019,0.015,0.4,0.0,0.024,0.053,0.285,0.143,0.025,2.0,0.0,2.0,2.0,3.7,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.6,0.639,1.027,0.407,5.0
218,"GRAVY,TURKEY,CND,RTS",88.6,51,2.6,2.1,1.6,5.1,0.4,0.21,4.0,0.7,2.0,29.0,109.0,577.0,0.8,0.1,0.2,0.6,0.0,0.02,0.08,1.3,0.02,0.01,2.0,0.0,2.0,2.0,2.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.62,0.9,0.49,2.0
219,"SOUP,CHICK MUSHROOM,CND,COND",80.4,100,1.61,4.84,1.2,11.95,3.2,0.79,23.0,0.7,7.0,22.0,56.0,669.0,0.8,0.04,0.1,2.9,0.0,0.02,0.09,1.3,0.2,0.04,2.0,0.0,2.0,2.0,11.0,0.05,33.0,9.0,8.0,0.0,3.0,0.0,0.0,1.0,0.64,0.0,0.0,1.1,1.246,2.125,1.226,8.0
220,"SAUCE,HOMEMADE,WHITE,THIN",80.66,105,3.77,6.73,1.45,7.4,0.1,4.78,126.0,0.21,15.0,101.0,163.0,328.0,0.42,0.013,0.024,3.3,0.8,0.055,0.184,0.261,0.339,0.041,9.0,4.0,5.0,12.0,14.1,0.3,262.0,73.0,72.0,0.0,13.0,0.0,0.0,1.0,0.17,1.2,49.0,0.6,2.152,2.67,1.586,8.0
221,"SAUCE,HOMEMADE,WHITE,MED",74.89,147,3.84,10.63,1.47,9.17,0.2,4.38,118.0,0.33,14.0,98.0,156.0,354.0,0.41,0.016,0.043,4.1,0.8,0.069,0.185,0.402,0.326,0.04,8.0,3.0,5.0,10.0,14.2,0.28,377.0,104.0,103.0,0.0,21.0,0.0,0.0,1.0,0.29,1.2,48.0,0.9,2.854,4.42,2.862,7.0
222,"SAUCE,HOMEMADE,WHITE,THICK",69.1,186,3.99,13.83,1.47,11.61,0.3,3.98,111.0,0.5,14.0,96.0,149.0,373.0,0.4,0.021,0.067,5.2,0.7,0.088,0.19,0.589,0.315,0.038,11.0,5.0,6.0,15.0,14.3,0.26,469.0,130.0,127.0,0.0,27.0,0.0,0.0,2.0,0.38,1.2,47.0,1.2,3.416,5.851,3.914,6.0
223,"SOUP,STOCK,FISH,HOME-PREPARED",96.6,16,2.26,0.81,0.74,0.0,0.0,0.0,3.0,0.01,7.0,56.0,144.0,156.0,0.06,0.058,0.052,1.0,0.1,0.033,0.076,1.186,0.329,0.037,2.0,0.0,2.0,2.0,7.0,0.69,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.203,0.236,0.138,1.0
224,"SOUP,CHICK BROTH,LESS/REDUCED NA,READY TO SERVE",97.32,7,1.36,0.0,0.89,0.38,0.0,0.22,8.0,0.26,1.0,18.0,85.0,231.0,0.08,0.035,0.062,0.0,0.4,0.002,0.014,0.686,0.012,0.006,3.0,0.0,3.0,3.0,3.1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,"SOUP,BF BROTH,LESS/REDUCED NA,READY TO SERVE",98.01,6,1.14,0.07,0.58,0.2,0.0,0.2,3.0,0.04,1.0,9.0,20.0,225.0,0.24,0.009,0.005,0.0,0.0,0.016,0.073,0.41,0.065,0.075,2.0,0.0,2.0,2.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.026,0.005,0.0
226,"SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS",82.8,68,4.0,0.7,1.0,11.4,1.9,1.57,16.0,0.7,14.0,54.0,204.0,196.0,0.49,0.1,0.198,0.3,1.0,0.083,0.038,0.695,0.25,0.048,29.0,0.0,29.0,29.0,22.3,0.03,415.0,21.0,0.0,90.0,201.0,5.0,0.0,18.0,0.06,0.0,0.0,2.6,0.294,0.282,0.135,3.0
227,"SOUP,CHICK BROTH,RTS",97.81,6,0.64,0.21,0.9,0.44,0.0,0.43,4.0,0.07,1.0,4.0,18.0,371.0,0.07,0.015,0.015,0.4,0.0,0.021,0.059,0.219,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.013,0.019,0.009,2.0
228,"SOUP,CRM OF MUSHROOM,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",87.04,65,2.36,3.58,1.26,5.76,0.3,2.82,68.0,0.1,7.0,59.0,103.0,357.0,0.31,0.013,0.025,2.7,0.1,0.026,0.104,0.214,0.255,0.027,3.0,0.0,3.0,3.0,13.2,0.28,102.0,30.0,30.0,0.0,2.0,0.0,0.0,2.0,0.26,0.7,29.0,9.6,1.116,0.877,1.435,4.0
229,"SOUP,CRM OF SHRIMP,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",87.11,61,2.78,3.23,1.46,5.64,0.1,2.62,69.0,0.22,9.0,60.0,95.0,354.0,0.54,0.051,0.152,3.5,0.1,0.028,0.107,0.211,0.237,0.034,4.0,0.0,4.0,4.0,11.8,0.5,147.0,43.0,43.0,0.0,2.0,0.0,0.0,0.0,0.02,0.6,25.0,0.1,1.93,1.147,0.155,10.0
230,"SOUP,BLACK BEAN,CND,PREP W/ EQ VOLUME H2O",87.62,46,2.42,0.66,1.6,7.71,3.4,1.24,19.0,0.75,17.0,38.0,125.0,487.0,0.55,0.155,0.25,0.0,0.1,0.021,0.02,0.205,0.08,0.035,33.0,0.0,33.0,33.0,7.8,0.0,222.0,11.0,0.0,40.0,110.0,6.0,232.0,18.0,0.18,0.0,0.0,0.9,0.17,0.24,0.205,0.0
231,"SOUP,CHICK BROTH,CND,PREP W/ EQ VOLUME H2O",95.95,16,2.02,0.57,1.02,0.38,0.0,0.29,4.0,0.21,1.0,30.0,86.0,306.0,0.1,0.051,0.102,0.0,0.0,0.004,0.029,1.372,0.02,0.01,2.0,0.0,2.0,2.0,4.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.16,0.24,0.11,0.0
232,"SOUP,CHICK NOODLE,CND,PREP W/ EQ VOLUME H2O",94.17,24,1.16,0.76,0.94,2.97,0.5,0.0,5.0,0.33,4.0,18.0,24.0,335.0,0.14,0.018,0.048,3.1,0.0,0.039,0.034,0.598,0.053,0.021,7.0,5.0,2.0,10.0,5.5,0.06,201.0,11.0,1.0,0.0,119.0,0.0,0.0,4.0,0.03,0.0,0.0,0.0,0.191,0.262,0.166,4.0
233,"SOUP,CHICK W/ RICE,CND,PREP W/ EQ VOLUME H2O",93.87,24,1.45,0.78,0.99,2.92,0.3,0.08,9.0,0.31,0.0,9.0,41.0,238.0,0.11,0.053,0.15,2.1,0.1,0.007,0.01,0.459,0.07,0.01,0.0,0.0,0.0,0.0,4.9,0.07,170.0,9.0,0.0,39.0,83.0,0.0,0.0,3.0,0.03,0.0,0.0,0.1,0.185,0.37,0.17,3.0
234,"SOUP,CRM OF MUSHROOM,CND,PREP W/ EQ VOLUME H2O",92.46,39,0.66,2.59,0.96,3.33,0.3,0.2,7.0,0.09,2.0,12.0,31.0,340.0,0.06,0.016,0.018,1.4,0.0,0.006,0.008,0.169,0.072,0.007,1.0,0.0,1.0,1.0,4.7,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.24,0.1,4.0,9.6,0.472,0.597,1.42,0.0
235,"SOUP,PEA,GRN,CND,PREP W/ EQ VOLUME H2O",84.55,61,3.2,1.09,1.28,9.88,1.9,3.19,12.0,0.73,15.0,47.0,71.0,336.0,0.64,0.146,0.245,3.6,0.6,0.04,0.025,0.462,0.049,0.02,1.0,0.0,1.0,1.0,13.2,0.0,12.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.09,0.0,0.0,0.2,0.524,0.372,0.142,0.0
236,"SOUP,CRM OF SHRIMP,CND,PREP W/ EQ VOLUME H2O",92.38,36,1.11,2.07,1.18,3.27,0.1,0.24,9.0,0.21,4.0,13.0,24.0,391.0,0.3,0.055,0.15,2.3,0.0,0.008,0.011,0.17,0.055,0.015,2.0,0.0,2.0,2.0,3.4,0.24,63.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.595,0.075,7.0
237,"SOUP,BF BROTH OR BOUILLON,PDR,PREP W/H2O",98.69,3,0.21,0.08,0.77,0.25,0.0,0.2,4.0,0.02,2.0,3.0,6.0,382.0,0.01,0.01,0.006,0.3,0.0,0.002,0.003,0.049,0.004,0.003,0.0,0.0,0.0,0.0,1.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.033,0.003,0.0
238,"SOUP,BF BROTH,CUBED,PREP W/H2O",98.69,3,0.21,0.08,0.77,0.25,0.0,0.2,4.0,0.02,2.0,3.0,6.0,260.0,0.01,0.01,0.006,0.3,0.0,0.002,0.003,0.049,0.004,0.003,0.0,0.0,0.0,0.0,1.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.033,0.003,0.0
239,"SOUP,CHICK BROTH OR BOUILLON,DRY,PREP W/ H2O",98.28,4,0.28,0.23,0.92,0.3,0.0,0.29,6.0,0.02,2.0,3.0,6.0,401.0,0.01,0.01,0.003,0.5,0.0,0.002,0.007,0.041,0.01,0.002,1.0,0.0,1.0,1.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.057,0.089,0.074,0.0
240,"SOUP,CRM OF CHICK,DRY,MIX,PREP W/ H2O",90.94,41,0.68,2.04,1.22,5.11,0.1,1.59,29.0,0.1,2.0,37.0,82.0,454.0,0.6,0.1,0.3,3.1,0.2,0.04,0.078,1.0,0.3,0.02,2.0,0.0,2.0,2.0,5.4,0.1,156.0,8.0,0.0,5.0,82.0,18.0,1.0,50.0,0.23,0.0,0.0,5.6,1.3,0.45,0.16,1.0
241,"SOUP,ONION,DRY,MIX,PREP W/ H2O",95.8,12,0.32,0.01,1.1,2.77,0.3,0.2,9.0,0.05,4.0,9.0,31.0,346.0,0.05,0.025,0.029,0.2,0.1,0.012,0.012,0.063,0.036,0.025,0.0,0.0,0.0,0.0,1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.1,0.004,0.003,0.007,0.0
242,"SOUP,CHICK NOODLE,DRY,MIX,PREP W/ H2O",94.16,23,0.84,0.55,0.78,3.67,0.1,0.31,2.0,0.2,3.0,12.0,13.0,229.0,0.08,0.014,0.032,3.8,0.0,0.081,0.03,0.431,0.042,0.01,7.0,6.0,1.0,11.0,4.9,0.02,11.0,1.0,0.0,1.0,5.0,0.0,0.0,8.0,0.05,0.0,0.0,1.4,0.122,0.205,0.155,4.0
243,"SAUCE,PNUT,MADE FROM COCNT,H2O,SUGAR,PNUTS",62.08,179,2.02,6.34,1.11,28.46,1.1,18.8,9.0,0.38,19.0,35.0,99.0,319.0,0.3,0.063,0.5,2.7,0.0,0.07,0.04,1.355,0.13,0.085,4.0,0.0,4.0,4.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,1.0,3.53,1.355,1.135,0.0
244,"SOUP,VEG BROTH,READY TO SERVE",98.05,5,0.24,0.07,0.71,0.93,0.0,0.55,3.0,0.06,1.0,3.0,19.0,296.0,0.03,0.009,0.006,0.0,0.4,0.023,0.022,0.11,0.06,0.007,0.0,0.0,0.0,0.0,0.3,0.0,238.0,12.0,0.0,64.0,111.0,0.0,7.0,1.0,0.0,0.0,0.0,0.7,0.028,0.005,0.004,0.0
245,"SOUP,CRM OF CHICK,CND,COND,RED NA",85.8,58,1.8,1.3,1.5,9.5,0.4,0.39,11.0,0.2,2.0,23.0,272.0,357.0,0.13,0.034,0.055,6.3,0.0,0.005,0.022,0.637,0.04,0.012,4.0,0.0,4.0,4.0,8.5,0.05,432.0,25.0,4.0,94.0,205.0,0.0,0.0,7.0,0.08,0.0,0.0,0.7,0.5,0.4,0.4,6.0
246,"SOUP,CHICK NOODLE,LO NA,CND,PREP W/ EQ VOLUME H2O",93.82,25,1.27,0.95,1.01,2.95,0.2,0.27,6.0,0.66,4.0,17.0,22.0,173.0,0.16,0.064,0.051,4.8,0.0,0.055,0.045,0.54,0.074,0.02,8.0,6.0,2.0,12.0,5.5,0.02,201.0,11.0,1.0,0.0,119.0,0.0,0.0,4.0,0.03,0.0,0.0,0.0,0.262,0.418,0.264,5.0
247,"ROAST BF,DELI STYLE,PREPACKAGED,SLICED",73.72,115,18.62,3.69,3.33,0.64,0.0,0.29,5.0,2.05,20.0,242.0,647.0,853.0,3.2,0.086,0.015,14.7,0.0,0.043,0.213,5.581,0.566,0.46,5.0,0.0,5.0,5.0,43.9,2.04,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,1.0,1.6,1.318,1.521,0.27,51.0
