,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot,Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),class
710,"BREAD,OAT BRAN,TOASTED",38.5,259,11.4,4.8,1.6,43.7,4.9,8.46,71,3.43,34,116,123,387,1.05,0.128,0.76,33,0,0.443,0.343,4.778,0.114,0.04,69,50,19,104,16.1,0,5,2,2,0,0,0,0,48,0.48,0,0,1.3,0.766,1.748,1.861,0,2
711,"BREAD,OATMEAL",36.7,269,8.4,4.4,2,48.5,4,8.14,66,2.7,37,126,142,447,1.02,0.209,0.94,24.6,0,0.399,0.24,3.136,0.341,0.068,62,35,27,87,18.7,0.03,16,5,5,0,0,0,0,72,0.48,0,0,1.5,0.703,1.578,1.702,0,2
712,"BREAD,OATMEAL,TOASTED",31.2,292,9.2,4.8,2.1,52.7,4.3,8.84,72,2.94,41,137,154,486,1.11,0.227,1.022,26.7,0.3,0.347,0.235,3.068,0.241,0.067,53,32,21,75,15.9,0.02,15,5,5,0,0,0,0,75,0.53,0,0,1.7,0.764,1.715,1.85,0,2
713,"BREAD,WHEAT",35.25,274,10.67,4.53,2.01,47.54,4,5.73,125,3.6,41,129,141,473,1.04,0.148,1.026,28.8,0.2,0.411,0.252,5.59,0.82,0.111,85,20,65,99,18.7,0,2,0,0,0,1,0,0,44,0.19,0,0,4.9,0.697,0.612,1.615,0,2
714,"BREAD, WHEAT, TSTD",24.23,313,12.96,4.27,2.77,55.77,4.7,6.42,165,4.09,59,188,223,601,1.47,0.198,1.377,33.4,0.2,0.439,0.382,6.25,0.456,0.153,86,20,65,100,22.1,0,0,0,0,0,0,0,0,50,0.24,0,0,5.7,0.989,1.019,1.72,0,2
715,"BREAD STUFFING,BREAD,DRY MIX,PREP",64.77,195,2.73,12.05,1.61,18.84,0.8,2.04,30,0.95,11,38,67,479,0.23,0.064,0.146,11.8,0,0.141,0.105,1.422,0.11,0.039,37,18,19,50,5.3,0.02,497,114,107,0,85,0,0,18,1.34,0,0,13.2,2.319,5.771,3.553,0,2
716,"ENGLISH MUFFINS,MIXED-GRAIN (INCL GRANOLA)",40.2,235,9.1,1.8,2.5,46.3,2.8,0.81,196,3.02,41,81,156,298,1.39,0.243,0.604,25.5,0,0.43,0.313,3.583,0.408,0.038,80,45,35,112,13.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0.23,0.827,0.559,0,2
717,"ENGLISH MUFFINS,MIXED-GRAIN,TSTD (INCL GRANOLA)",35,255,9.9,1.9,2.7,50.3,3,0.88,213,3.29,48,162,169,324,1.05,0.254,0.823,27.7,0,0.374,0.307,3.505,0.325,0.103,67,40,27,95,15.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.899,0.608,0,2
718,"ENGLISH MUFFINS,RAISIN-CINNAMON (INCLUDES APPLE-CINNAMON)",40.6,240,7.91,1.8,1.58,48.1,2.6,14.76,114,4.5,23,91,173,299,0.97,0.16,0.575,21.6,1.3,0.412,0.215,3.67,0.209,0.066,74,54,20,112,16,0,0,0,0,0,0,0,0,25,0.31,0,0,2.5,0.54,0.846,0.339,0,2
719,"ENGLISH MUFFINS,WHEAT",42.3,223,8.7,2,2.3,44.8,4.6,1.56,178,2.87,37,107,186,353,1.07,0.148,1.001,29.2,0,0.431,0.292,3.356,0.444,0.087,64,25,39,81,13.7,0,1,0,0,0,2,0,0,92,0.45,0,0,0.8,0.287,0.28,0.834,0,2
720,"ENGLISH MUFFINS,WHEAT,TSTD",37.2,243,9.4,2.1,2.5,48.7,5,1.7,193,3.12,42,125,202,384,1.22,0.163,1.12,31.8,0,0.375,0.286,3.283,0.214,0.098,59,29,30,79,15.7,0,2,0,0,0,2,0,0,95,0.49,0,0,0.9,0.312,0.305,0.906,0,2
721,"MUFFINS,CORN,COMMLY PREP",32.6,305,5.9,8.4,2.1,51,3.4,17.78,74,2.81,32,284,69,467,0.54,0.299,0.355,15.2,0,0.273,0.326,2.037,0.444,0.084,62,28,34,82,51.7,0.09,208,52,49,12,20,0,0,263,0.8,0,0,2.3,1.354,2.104,3.215,26,2
722,"PIE,APPL,COMMLY PREP,ENR FLR",52.2,237,1.9,11,0.9,34,1.6,15.65,11,0.45,7,24,65,201,0.16,0.046,0.182,1,3.2,0.028,0.027,0.263,0.119,0.038,27,23,4,43,7.2,0.01,124,32,31,0,9,6,0,9,1.52,0,0,3.5,3.797,4.388,2.198,0,2
723,"PIE,BANANA CRM,PREP FROM RECIPE",47.9,269,4.4,13.6,1.2,32.9,0.7,12.06,75,1.04,16,92,165,240,0.48,0.052,0.152,9.1,1.6,0.139,0.207,1.054,0.388,0.133,27,16,11,38,28.7,0.25,237,61,59,5,21,1,0,46,0.4,0.8,32,6.3,3.758,5.719,3.292,51,2
724,"PIE,BLUEBERRY,COMMLY PREP",52.5,232,1.8,10,0.8,34.9,1,9.89,8,0.3,5,23,50,287,0.16,0.046,0.176,1.4,2.7,0.01,0.03,0.3,0.136,0.037,27,23,4,43,7.2,0.01,140,44,41,0,39,0,0,15,1.04,0,0,10.5,1.679,4.244,3.524,0,2
725,"PIE,CHERRY,COMMLY PREP",46.2,260,2,11,0.9,39.8,0.8,14.29,12,0.48,8,29,81,246,0.18,0.04,0.14,1.2,0.9,0.023,0.029,0.2,0.319,0.041,27,19,8,40,7.2,0.01,267,52,46,0,69,0,0,20,0.76,0,0,7.6,2.562,5.837,2.055,0,2
726,"PIE,COCNT CREME,COMMLY PREP",43.2,298,2.1,16.6,0.8,37.3,1.3,18.52,29,0.8,20,85,65,204,0.47,0.068,0.438,5.3,0,0.05,0.08,0.2,0.24,0.068,7,2,5,8,22.1,0.12,90,27,27,0,0,0,0,0,0.15,0.2,6,5.3,6.976,7.26,1.544,0,2
727,"PIE,EGG CUSTARD,COMMLY PREP",60.9,210,5.5,11.6,1.3,20.8,1.6,11.58,80,0.58,11,112,106,275,0.52,0.024,0.06,7.1,0.6,0.039,0.208,0.292,0.662,0.048,20,0,20,20,38,0.43,232,57,57,0,9,1,0,50,0.94,0.8,34,3.2,2.349,4.797,3.723,33,2
728,"PIE,PEACH",54.4,224,1.9,10,0.8,32.9,0.8,16.23,8,0.5,6,22,125,217,0.09,0.053,0.152,1.3,0.9,0.061,0.033,0.2,0.114,0.023,29,25,4,46,7.2,0,140,10,4,0,64,25,0,15,0.94,0,0,3.3,1.508,4.241,3.749,0,2
729,"PIE,VANILLA CRM,PREP FROM RECIPE",47,278,4.8,14.4,1.2,32.6,0.6,12.68,90,1.02,13,104,126,260,0.53,0.039,0.128,9.5,0.5,0.139,0.216,0.984,0.415,0.049,26,15,11,37,32.8,0.3,306,83,81,2,22,1,0,52,0.45,1.2,47,6.7,4.03,6.043,3.438,62,2
730,"ROLLS,DINNER,WHEAT",37,273,8.6,6.3,2.1,46,3.8,1.63,176,3.55,36,104,115,524,0.9,0.15,1.023,33,0,0.433,0.273,4.072,0.364,0.076,60,45,15,92,18.7,0,0,0,0,0,0,0,0,65,0.36,0,0,2.7,1.497,3.109,1.107,0,2
731,"ROLLS,HAMBURGER OR HOTDOG,PLN",34.34,279,9.77,3.91,1.85,50.12,1.8,7.28,144,3.43,23,101,122,494,0.73,0.109,0.512,27.2,1.3,0.543,0.297,4.18,0.555,0.063,94,53,41,131,14.6,0.2,107,29,29,0,7,0,0,6,0.27,0,0,4.8,0.842,0.748,1.78,0,2
732,"BAGELS,WHEAT",37.55,250,10.2,1.53,1.82,48.89,4.1,6.12,20,2.76,51,142,165,439,1.1,0.175,1.43,28.7,0,0.403,0.209,3.37,0.375,0.147,76,46,31,108,9.8,0,0,0,0,0,2,0,0,88,0.32,0,0,1.5,0,0.29,0.936,0,2
733,"CREAM PUFF,ECLAIR,CUSTARD OR CRM FILLED,ICED",38.64,334,4.41,18.52,1,37.43,0.9,22.05,35,0.95,10,71,68,265,0.45,0.06,0.224,15.5,0,0.263,0.241,1.908,0.471,0.041,66,49,16,100,44.2,0.17,88,23,22,0,1,1,0,86,0.95,0.3,11,6.7,7.055,6.07,4.173,66,2
734,"ICE CREAMS,VANILLA,LT",59.85,180,4.78,4.83,1.07,29.46,0.3,22.12,161,0.19,14,103,208,74,0.73,0.017,0.005,2,1.2,0.053,0.255,0.136,0.481,0.045,6,0,6,6,26,0.47,448,128,127,0,14,0,0,0,0.12,0.1,4,0.4,2.927,1.281,0.219,27,2
735,"ICE CREAMS,VANILLA",61,207,3.5,11,0.9,23.6,0.7,21.22,128,0.09,14,105,199,80,0.69,0.023,0.008,1.8,0.6,0.041,0.24,0.116,0.581,0.048,5,0,5,5,26,0.39,421,118,116,0,19,0,0,0,0.3,0.2,8,0.3,6.79,2.969,0.452,44,2
736,"ICE CREAMS,VANILLA,LT,SOFT-SERVE",69.6,126,4.9,2.6,1.1,21.8,0,18.69,157,0.06,14,121,221,70,0.53,0.027,0.008,3.6,0.9,0.052,0.198,0.118,0.447,0.046,5,0,5,5,20.3,0.5,103,29,28,0,5,0,0,0,0.06,0,0,0.4,1.63,0.76,0.1,12,0
737,"EGG CUSTARDS,DRY MIX,PREP W/ WHL MILK",73.45,122,3.99,4,0.97,17.6,0,4.82,139,0.34,16,130,207,84,0.51,0.03,0.007,6,0.1,0.061,0.22,0.132,0.699,0.064,9,0,9,9,11.8,0.52,182,52,52,0,6,0,0,0,0.06,1.2,47,0.2,2.032,1.127,0.312,51,0
738,"GELATIN DSSRT,DRY MIX,PREP W/ H2O",84.39,62,1.22,0,0.2,14.19,0,13.49,3,0.02,1,22,1,75,0.01,0.024,0.002,1.1,0,0,0.006,0.001,0.002,0,1,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739,"GELATIN DSSRT,DRY MIX,RED CAL,W/ ASPRT,PREP W/ H2O",94.74,20,0.83,0,0.21,4.22,0,0,3,0.01,1,68,1,48,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,"PUDDINGS,CHOC,RTE",69.46,142,2.09,4.6,0.84,23.01,0,17.17,51,1.27,18,56,184,152,0.34,0.092,0.118,0,0.3,0.024,0.072,0.123,0.244,0.018,3,0,3,3,9.5,0.09,46,14,14,0,0,0,0,1,0.31,0,0,0.6,1.263,2.731,0.105,1,2
741,"PUDDINGS,CHOC,DRY MIX,INST,PREP W/ WHOLE MILK",73.13,120,3.16,3.15,0.92,19.64,0.8,11.96,106,0.34,20,87,150,98,0.48,0.111,0.097,3.7,0,0.038,0.157,0.133,0.326,0.03,4,0,4,4,11.3,0.31,139,39,39,0,6,0,0,1,0.06,1.1,44,0.3,1.81,0.819,0.18,9,0
742,"PUDDINGS,CHOC,DRY MIX,REG,PREP W/ 2% MILK",73.94,111,3.28,2.06,0.96,19.76,0.8,11.85,112,0.34,21,94,156,102,0.57,0.095,0.106,2.7,0.1,0.033,0.171,0.136,0.31,0.032,4,0,4,4,12.9,0.37,163,47,47,0,3,0,0,1,0.03,1,42,0.2,1.289,0.602,0.076,7,0
743,"Puddings, rice, ready-to-eat",75.15,108,3.23,2.15,0.78,18.39,0.3,11.59,95,0.11,8,82,125,97,0.43,0.023,0.077,3.2,1.3,0.027,0.183,0.217,0.54,0.052,4,0,4,4,7.8,0.15,69,19,19,0,4,0,0,9,0.07,0,0,0.2,1.208,0.556,0.129,12,0
744,"PUDDINGS,VANILLA,RTE",71.66,130,1.45,3.78,0.51,22.6,0,16.97,49,0.09,4,41,65,142,0.16,0.018,0.011,0,0.2,0.019,0.071,0.057,0.153,0.019,2,0,2,2,6.2,0.15,6,2,2,0,0,0,0,0,0.3,0,0,0.6,1.016,2.286,0.087,1,2
745,"EGG CUSTARDS,DRY MIX,PREP W/ 2% MILK",74.44,112,4.13,2.83,1,17.61,0,4.63,146,0.33,17,137,214,87,0.61,0.012,0.016,4.9,0.2,0.056,0.235,0.135,0.683,0.066,8,0,8,8,13.5,0.58,208,61,60,0,4,0,0,0,0.03,1.1,44,0.2,1.475,0.896,0.201,49,0
746,"PUDDINGS,VANILLA,DRY MIX,REG,PREP W/ WHL MILK",74.49,113,2.8,2.9,0.9,18.92,0.1,17.09,99,0.04,9,74,119,156,0.33,0.025,0.005,3.3,0,0.036,0.149,0.078,0.326,0.028,4,0,4,4,11.2,0.31,141,40,40,0,6,0,0,0,0.06,1.1,45,0.2,1.643,0.714,0.197,9,0
747,"PUDDINGS,TAPIOCA,RTE",71.84,130,1.95,3.88,0.64,21.69,0,14.91,71,0.11,6,60,92,145,0.22,0.018,0.011,0,0.3,0.024,0.097,0.065,0.235,0.024,3,0,3,3,6.2,0.21,0,0,0,0,0,0,0,0,0.15,0,0,0.4,0.962,2.538,0.072,1,2
748,"PUDDINGS,VANILLA,RTE,FAT FREE",76.93,89,2.02,0,0.9,20.16,0,15.12,40,0.36,7,54,108,191,0.23,0.013,0.004,1.7,1.2,0.022,0.088,0.052,0.196,0.019,3,0,3,3,4.8,0.21,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2
749,"PUDDINGS,TAPIOCA,RTE,FAT FREE",76.25,94,1.44,0.35,0.64,21.31,0,14.18,52,0.11,5,66,70,187,0.17,0.018,0.011,0,0.3,0.013,0.075,0.101,0.03,0.02,2,0,2,2,6.5,0.31,1,0,0,0,0,0,0,0,0.01,0,0,0,0.122,0.012,0.002,1,2
750,"PUDDINGS,CHOC,RTE,FAT FREE",76.23,93,1.93,0.3,0.7,20.87,0.3,15.75,39,1.69,15,54,208,154,0.3,0.083,0.078,1.6,0,0.018,0.074,0.087,0.148,0.016,3,0,3,3,7,0.15,1,0,0,0,0,0,0,1,0,0,0,0.1,0,0,0,1,2
751,"ICE CREAMS,VANILLA,LT,NO SUGAR ADDED",65.52,169,3.97,7.45,1.2,21.42,0,6.46,136,0.19,9,75,196,96,0.31,0.03,0.006,1.9,0.9,0.029,0.122,0.074,0.256,0.029,4,0,4,4,23,0.52,302,86,85,0,12,0,0,0,0.29,0.1,5,2.8,4.048,1.855,0.74,27,2
752,"FROZEN NOVELTIES,FRUIT & JUC BARS",78.3,87,1.2,0.1,0.2,20.2,1,17.48,5,0.19,4,6,53,4,0.05,0,0.165,0.2,9.5,0.011,0.018,0.159,0.04,0.025,7,0,7,7,4,0,18,1,0,0,11,0,0,34,0,0,0,0.9,0,0,0.03,0,0
753,"ICE CREAMS,CHOC,LT,NO SUGAR ADDED",62.99,173,3.54,5.74,0.94,26.79,0.9,5.65,121,0.48,15,106,196,75,0.4,0.018,0.009,2.9,0.7,0.044,0.18,0.111,0.414,0.042,5,0,5,5,11.7,0.38,264,75,74,0,10,0,0,0,0.3,0.1,4,3.6,3.61,0.93,0.527,16,0
754,"FROZEN NOVELTIES,ICE TYPE,POP",80.49,79,0,0.24,0.05,19.23,0,13.66,0,0.54,1,0,15,7,0.15,0,0,0.2,0.7,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.051,0.016,0,0
755,"PIE FILLINGS,APPL,CND",73.4,100,0.1,0.1,0.3,26.1,1,13.8,4,0.29,2,7,45,47,0.04,0.055,0.027,0.3,1.7,0.012,0.011,0.035,0.042,0.016,0,0,0,0,2.8,0,24,2,0,0,10,8,0,11,0.04,0,0,0.5,0,0,0,0,0
756,"PUDDINGS,BANANA,DRY MIX,INST,PREP W/ WHL MILK",73.62,115,2.62,2.8,1.2,19.76,0,17.38,94,0.05,9,206,112,290,0.32,0.024,0.005,3.2,0,0.038,0.14,0.074,0.311,0.03,4,0,4,4,11.9,0.37,134,38,38,0,6,0,0,0,0.06,1.1,42,0.2,1.562,0.698,0.221,9,2
757,"PUDDINGS,BANANA,DRY MIX,REG,PREP W/ WHL MILK",74.96,111,2.74,2.89,0.97,18.44,0,15.98,101,0.04,10,74,118,158,0.34,0.025,0.006,3.3,0,0.036,0.147,0.077,0.324,0.028,4,0,4,4,11.2,0.31,141,40,39,0,6,0,0,0,0.06,1.1,44,0.2,1.634,0.711,0.195,9,0
758,"ICE CREAMS,REG,LO CARBOHYDRATE,VANILLA",61,216,3.17,12.7,0.9,22.23,4.8,6.35,128,0.09,14,105,199,48,0.69,0.023,0.008,2.6,0.6,0.041,0.24,0.116,0.581,0.048,5,0,5,5,26,0.39,418,118,116,0,19,0,0,0,0.3,0.2,9,0.3,6.79,3.17,0.41,32,2
759,"ICE CREAMS,REG,LO CARBOHYDRATE,CHOC",55.7,237,3.8,12.7,1,26.8,4.8,6.35,109,0.93,29,107,249,76,0.58,0.135,0.14,2.5,0.7,0.042,0.194,0.226,0.554,0.055,16,0,16,16,22.5,0.29,419,118,116,0,19,0,0,0,0.3,0.2,9,0.3,6.8,3.21,0.41,34,2
760,"BARLEY,PEARLED,COOKED",68.8,123,2.26,0.44,0.27,28.22,3.8,0.28,11,1.33,22,54,93,3,0.82,0.105,0.259,8.6,0,0.083,0.062,2.063,0.135,0.115,16,0,16,16,13.4,0,7,0,0,0,5,0,0,56,0.01,0,0,0.8,0.093,0.057,0.214,0,0
761,"BUCKWHEAT GROATS,RSTD,CKD",75.63,92,3.38,0.62,0.43,19.94,2.7,0.9,7,0.8,51,70,88,4,0.61,0.146,0.403,2.2,0,0.04,0.039,0.94,0.359,0.077,14,0,14,14,20.1,0,0,0,0,0,0,0,0,60,0.09,0,0,1.9,0.134,0.188,0.188,0,0
762,"BULGUR,COOKED",77.76,83,3.08,0.24,0.34,18.58,4.5,0.1,10,0.96,32,40,68,5,0.57,0.075,0.609,0.6,0,0.057,0.028,1,0.344,0.083,18,0,18,18,6.9,0,2,0,0,0,1,0,0,54,0.01,0,0,0.5,0.042,0.031,0.098,0,0
763,"COUSCOUS,COOKED",72.57,112,3.79,0.16,0.26,23.22,1.4,0.1,8,0.38,8,22,58,5,0.26,0.041,0.084,27.5,0,0.063,0.027,0.983,0.371,0.051,15,0,15,15,3.3,0,0,0,0,0,0,0,0,25,0.13,0,0,0.1,0.029,0.022,0.064,0,0
764,"HOMINY,CANNED,WHITE",82.53,72,1.48,0.88,0.86,14.26,2.5,1.82,10,0.62,16,35,9,345,1.05,0.03,0.07,3,0,0.003,0.006,0.033,0.154,0.005,1,0,1,1,3.1,0,1,0,0,0,0,0,0,30,0.05,0,0,0.2,0.123,0.231,0.399,0,2
765,"MILLET,COOKED",71.41,119,3.51,1,0.41,23.67,1.3,0.13,3,0.63,44,100,62,2,0.91,0.161,0.272,0.9,0,0.106,0.082,1.33,0.171,0.108,19,0,19,19,11.2,0,3,0,0,0,2,0,0,70,0.02,0,0,0.3,0.172,0.184,0.508,0,0
766,"RICE,BROWN,LONG-GRAIN,CKD",70.27,123,2.74,0.97,0.44,25.58,1.6,0.24,3,0.56,39,103,86,4,0.71,0.106,0.974,5.8,0,0.178,0.069,2.561,0.38,0.123,9,0,9,9,9.2,0,0,0,0,0,0,0,0,0,0.17,0,0,0.2,0.26,0.369,0.366,0,0
767,"RICE,WHITE,GLUTINOUS,UNENR,CKD",76.63,97,2.02,0.19,0.07,21.09,1,0.05,2,0.14,5,8,10,5,0.41,0.049,0.262,5.6,0,0.02,0.013,0.29,0.215,0.026,1,0,1,1,2.1,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.039,0.07,0.069,0,0
768,"WILD RICE,COOKED",73.93,101,3.99,0.34,0.4,21.34,1.8,0.73,3,0.6,32,82,101,3,1.34,0.121,0.282,0.8,0,0.052,0.087,1.287,0.154,0.135,26,0,26,26,10.2,0,3,0,0,0,2,0,0,64,0.24,0,0,0.5,0.049,0.05,0.213,0,0
769,"PASTA,WHOLE-WHEAT,CKD",61.8,149,5.99,1.71,0.44,30.07,3.9,0.75,13,1.72,54,127,96,4,1.34,0.225,1.321,36.3,0,0.156,0.099,3.126,0.268,0.093,21,0,21,21,6.5,0,4,0,0,0,2,0,0,94,0.23,0,0,0.6,0.243,0.176,0.574,0,0
770,"RICE NOODLES,CKD",73.82,108,1.79,0.2,0.18,24.01,1,0.03,4,0.14,3,20,4,19,0.25,0.038,0.114,4.5,0,0.018,0.004,0.072,0.011,0.006,1,0,1,1,1.6,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.023,0.026,0.023,0,0
771,"NOODLES,EGG,UNENR,CKD,WO/ ADDED SALT",67.73,138,4.54,2.07,0.5,25.16,1.2,0.4,12,0.6,21,76,38,5,0.65,0.098,0.315,23.9,0,0.03,0.02,0.4,0.263,0.046,7,0,7,7,25.7,0.09,21,6,6,0,1,0,0,38,0.17,0.1,4,0,0.419,0.581,0.552,29,0
772,"PASTA,CKD,UNENR,WO/ ADDED SALT",62.13,158,5.8,0.93,0.27,30.86,1.8,0.56,7,0.5,18,58,44,1,0.51,0.1,0.322,26.4,0,0.02,0.02,0.4,0.112,0.049,7,0,7,7,6.4,0,0,0,0,0,0,0,0,7,0.06,0,0,0,0.176,0.131,0.326,0,0
773,"RICE,WHITE,LONG-GRAIN,REG,UNENR,CKD WO/ SALT",68.44,130,2.69,0.28,0.41,28.17,0.4,0.05,10,0.2,12,43,35,1,0.49,0.069,0.472,7.5,0,0.02,0.013,0.4,0.39,0.093,3,0,3,3,2.1,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.077,0.088,0.076,0,0
774,"RICE,WHITE,LONG-GRAIN,REG,CKD,UNENR,W/SALT",68.44,130,2.69,0.28,0.41,28.17,0.4,0.05,10,0.2,12,43,35,382,0.49,0.069,0.472,7.5,0,0.02,0.013,0.4,0.39,0.093,3,0,3,3,2.1,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.077,0.088,0.076,0,2
775,"PASTA,GLUTEN-FREE,BROWN RICE FLR,CKD,TINKYADA",62.3,138,3.46,1.67,0.38,32.2,1.7,0,5,0.53,36,87,25,4,0.83,0.069,1.227,11.1,0,0.095,0.082,1.465,0.26,0.075,4,0,4,4,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.203,0.596,0.446,0,0
776,"PASTA,GLUTEN-FREE,CORN FLR & QUINOA FLR,CKD,ANCIENT HARVEST",63.2,152,3.23,2.07,0.39,31.11,3.3,0.3,7,0.72,41,91,63,4,0.7,0.064,0.206,2.2,0,0.12,0.093,0.45,0.21,0.05,8,0,8,8,5.8,0,11,1,0,0,3,6,0,131,0.23,0,0,0,0.152,0.663,0.947,0,0
777,"PASTA,GLUTEN-FREE,CORN & RICE FLR,CKD",57.67,179,3.2,1,0.07,38.05,1.4,0,2,0.22,11,33,24,4,0.27,0.02,0.094,2.2,0,0.05,0.079,0.24,0.14,0.037,4,0,4,4,1.7,0,71,4,0,21,32,0,0,539,0,0,0,0,0.15,0.259,0.329,0,2
778,"FAST FOODS,ENG MUFFIN,W/CHS&SAUSAGE",37.93,338,13.28,20.67,2.83,25.28,0.5,1.98,210,3.14,21,168,179,668,1.19,0.252,0.284,25.3,0,0.481,0.197,4.217,0.696,0.086,51,34,17,75,29.8,0.79,219,56,55,0,22,0,0,22,0.58,0.4,17,2.2,8.152,7.905,3.115,43,2
779,"FAST FOODS,VANILLA,LT,SOFT-SERVE ICE CRM,W/ CONE",63.64,163,4.24,4.86,0.9,26.36,0.1,19.49,129,0.35,13,111,193,81,0.5,0.023,0.038,3.7,0.9,0.043,0.246,0.498,0.728,0.054,13,8,5,18,19.6,0.58,97,27,27,0,5,0,0,1,0.03,0,0,0.5,2.542,1.206,0.297,15,0
780,"FAST FOODS,BURRITO,W/BNS,CHS,&BF",60.9,180,7.03,6.8,1.89,23.37,3.7,2.1,90,1.82,23,131,204,451,0.88,0.106,0.298,10.7,1.3,0.213,0.223,2.09,0.345,0.097,45,31,14,67,27.9,0.27,277,52,45,2,63,22,160,77,0.28,0.1,3,6.1,2.733,1.803,1.575,12,2
781,"FAST FOODS,NACHOS,W/ CHS,BNS,GROUND BF,& TOMATOES",58.15,219,6.21,12.48,1.76,21.39,3.7,1.63,47,1.01,33,153,298,348,1.05,0.104,0.202,8.1,0,0.073,0.137,1.01,0.33,0.158,14,0,14,14,28.1,0.31,242,42,36,1,64,19,252,46,1.75,0.1,2,5.4,2.549,6.661,2.496,14,2
782,"FAST FOODS,CHEESEBURGER; SINGLE,REG PATTY; PLN",38.63,308,16.51,14.72,2.11,28.03,2,4.88,119,2.71,26,161,196,515,2.49,0.111,0.316,19.6,0,0.293,0.363,5.217,0.545,0.228,70,28,42,89,28.9,0.76,254,50,45,0,61,2,0,37,0.52,0.1,2,4.2,6.473,5.413,1.658,43,2
783,"FAST FOODS,CHEESEBURGER; SINGLE,LRG PATTY; PLN",40.67,310,17.29,15.97,2,24.07,1.7,4.67,114,2.57,24,163,210,481,2.79,0.097,0.259,19.6,0,0.26,0.353,4.597,0.575,0.224,62,30,31,83,31.3,1,275,58,53,0,58,2,0,30,0.52,0.1,2,4.6,6.873,5.769,1.502,51,2
784,"FAST FOODS,CHICK FILLET SNDWCH,PLN W/ PICKLES",48.94,250,16.28,11.19,2.7,20.89,1.4,3.64,58,1.77,24,185,245,753,0.61,0.067,0.219,19.9,0.8,0.23,0.3,7.72,1.2,0.383,47,12,35,56,35.3,0.13,32,3,2,2,12,6,0,78,2.41,0.1,5,8.5,2.123,4.481,3.177,35,2
785,"FAST FOODS,HAMBURGER; SINGLE,REG PATTY; PLN",38.45,297,16.52,12.01,1.52,31.5,1.7,4.88,62,3.06,27,134,197,331,2.52,0.121,0.357,20.3,0,0.317,0.363,5.617,0.53,0.212,80,29,51,100,34.4,0.89,51,9,8,0,15,1,5,38,0.38,0.1,2,4.9,4.493,4.835,1.68,33,2
786,"FAST FOODS,SUB,SWT ONION CHICK WIT BRD W/ LTTC,TMT SWT ONION",62.4,155,10.91,2.37,1.78,22.54,1.2,6.06,142,1.52,23,139,285,305,0.64,0.071,0.282,15.4,1.1,0.273,0.213,5.063,0.655,0.282,58,34,23,82,22.9,0.11,56,3,0,0,33,0,208,87,0.38,0,1,4.2,0.505,0.642,0.831,22,2
787,"FAST FOODS,SUBMARINE SNDWCH,TRKY RST BF HM BRD W/ LTTC & TMT",64.7,146,10.66,2.42,1.86,20.36,1.4,3.19,153,1.93,22,131,265,348,1.18,0.081,0.278,16.8,0.8,0.277,0.24,4.507,0.445,0.222,65,50,15,100,29.4,0.2,49,2,0,0,29,0,149,56,0.24,0.1,4,4.7,0.57,0.615,0.844,16,2
788,"FAST FOODS,SUBMARINE SNDWCH,TRKY BRST WHT BRD LTTC & TMT",64.33,147,9.12,2.31,1.82,22.42,1.3,3.09,169,1.84,23,122,253,317,0.66,0.075,0.297,17,1.2,0.27,0.227,4.617,0.425,0.176,66,50,16,102,28.4,0.12,47,2,0,0,28,0,207,72,0.28,0,1,4.7,0.476,0.521,1.037,10,2
